genre,label
big room,981
rave,982
san diego rap,983
brazilian soul,984
deep big room,985
enka,986
manchester hip hop,987
mariachi cristiano,988
trad jazz catala,989
p funk,990
one-person band,991
chillwave,992
brit funk,993
canadian contemporary r&b,994
rap cristiano,995
vintage swing,996
trap argentino,997
romantico,998
cello,999
spanish renaissance,1000
post-doom metal,1001
vintage old-time,1002
classical piano trio,1003
jig and reel,1004
vocaloid,1005
uk americana,1006
nz reggae,1007
violao,1008
cambodian rock,1009
german pop,1010
arab folk,1011
oakland indie,1012
brazilian edm,1013
american choir,1014
dansktop,1015
singaporean pop,1016
norwegian indie,1017
greek pop,1018
vapor pop,1019
sound team,1020
zouk,1021
rock nacional brasileiro,1022
mississippi indie,1023
grave wave,1024
desi pop,1025
spanish pop rock,1026
venezuelan hip hop,1027
clean comedy,1028
singaporean mandopop,1029
small room,1030
mountain dulcimer,1031
british soundtrack,1032
nerdcore,1033
doom metal,1034
cumbia pop,1035
nashville singer-songwriter,1036
nyhc,1037
circus,1038
tex-mex,1039
choro,1040
canadian rock,1041
instrumental grime,1042
luk thung,1043
ambient idm,1044
chicago soul,1045
electrofox,1046
pony,1047
kleine hoerspiel,1048
japanese soundtrack,1049
spanish baroque,1050
quebec indie,1051
dominican pop,1052
sheffield indie,1053
volksmusik,1054
soda pop,1055
uk pop punk,1056
ambient techno,1057
dmv rap,1058
memphis americana,1059
barbadian pop,1060
japanese pop punk,1061
jazz orchestra,1062
sitar,1063
deep motown,1064
bush ballad,1065
final fantasy,1066
pinoy r&b,1067
okc indie,1068
mbalax,1069
djent,1070
persian traditional,1071
guitarra argentina,1072
scream rap,1073
aussietronica,1074
norwegian singer-songwriter,1075
chinese classical performance,1076
early us punk,1077
tamborazo,1078
kayokyoku,1079
cumbia andina mexicana,1080
hammered dulcimer,1081
eau claire indie,1082
afroswing,1083
japanese singer-songwriter,1084
experimental pop,1085
new york drill,1086
basshall,1087
tollywood,1088
lds youth,1089
belgian pop,1090
scottish singer-songwriter,1091
uk alternative hip hop,1092
german baroque,1093
abstract beats,1094
afrobeat,1095
neue deutsche harte,1096
australian trap,1097
comic metal,1098
musikkorps,1099
mexican classic rock,1100
uk garage,1101
dub techno,1102
christian trap,1103
deep latin christian,1104
bass house,1105
pop quebecois,1106
krautrock,1107
classic schlager,1108
native american hip hop,1109
rwandan traditional,1110
deep tropical house,1111
spanish rock,1112
greek folk,1113
indie psych-pop,1114
rap napoletano,1115
south african jazz,1116
swedish americana,1117
scottish new wave,1118
indie jazz,1119
cumbia peruana,1120
lebanese pop,1121
popwave,1122
deathgrind,1123
dutch rock,1124
cumbia villera,1125
english baroque,1126
new jersey punk,1127
vermont indie,1128
rap kreyol,1129
boston hip hop,1130
chillstep,1131
sound effects,1132
orquesta tipica,1133
german soundtrack,1134
swedish death metal,1135
chopped and screwed,1136
german house,1137
pinoy praise,1138
hoerspiel,1139
moog,1140
afrofuturism,1141
autoharp,1142
danish pop,1143
funk carioca,1144
happy hardcore,1145
avant-garde,1146
indie singer-songwriter,1147
boy soprano,1148
acid jazz,1149
indy indie,1150
contrabass,1151
canadian electronic,1152
vaudeville,1153
vintage dutch pop,1154
hawaiian indie,1155
austin singer-songwriter,1156
barbershop,1157
dutch house,1158
tipico,1159
shakuhachi,1160
chicago indie,1161
horror synth,1162
jug band,1163
jazz tuba,1164
israeli classical,1165
christian indie,1166
vegas indie,1167
klezmer,1168
mollywood,1169
chinese indie,1170
deep east coast hip hop,1171
music hall,1172
japanese dream pop,1173
canadian comedy,1174
tech house,1175
chutney,1176
sertanejo tradicional,1177
albanian pop,1178
accordion,1179
classic polish pop,1180
funk das antigas,1181
sevdah,1182
electropowerpop,1183
swedish idol pop,1184
drill,1185
early reggae,1186
latin arena pop,1187
industrial hip hop,1188
cumbia ranchera,1189
tamil worship,1190
musica para ninos,1191
rhode island indie,1192
early synthpop,1193
yugoslav rock,1194
ambient,1195
classical trumpet,1196
tagalog worship,1197
irish pub song,1198
hands up,1199
austindie,1200
punjabi pop,1201
boogie-woogie,1202
manila sound,1203
musical advocacy,1204
jacksonville indie,1205
seattle indie,1206
modern jazz piano,1207
dakke dak,1208
german punk,1209
pinoy hip hop,1210
shush,1211
chamber choir,1212
jazz boom bap,1213
sovietwave,1214
string folk,1215
australian house,1216
audiophile vocal,1217
viola,1218
alternative emo,1219
classic turkish pop,1220
czech contemporary classical,1221
uzbek traditional,1222
melodic deathcore,1223
jazztronica,1224
flamenco guitar,1225
samba de roda,1226
etherpop,1227
irish classical,1228
classic russian pop,1229
ryukyu ongaku,1230
israeli folk,1231
entehno,1232
bluegrass gospel,1233
new jersey indie,1234
nordic house,1235
swing revival,1236
cuban rumba,1237
pianissimo,1238
new england americana,1239
nz indie,1240
hokkien pop,1241
oud,1242
norsk lovsang,1243
asmr,1244
austro-german modernism,1245
turkish folk,1246
classical oboe,1247
classic iskelma,1248
classic belgian pop,1249
asian american hip hop,1250
turkish pop,1251
san diego indie,1252
uk reggae,1253
uk alternative pop,1254
lancaster pa indie,1255
kids dance party,1256
bahamian pop,1257
brazilian psychedelic,1258
tampa indie,1259
welsh indie,1260
scottish metal,1261
bc underground hip hop,1262
brooklyn indie,1263
melodic death metal,1264
panpipe,1265
nueva ola peruana,1266
irish hip hop,1267
makossa,1268
military rap,1269
chinese traditional,1270
minimal techno,1271
german alternative rock,1272
jazz accordion,1273
estonian pop,1274
norwegian black metal,1275
vogue,1276
classic afrobeat,1277
ontario indie,1278
turkish rock,1279
musique concrete,1280
yiddish folk,1281
nightrun,1282
olympia wa indie,1283
louisiana blues,1284
adventista,1285
persian pop,1286
progressive trance house,1287
japanese emo,1288
432hz,1289
chilean rock,1290
german dance,1291
forro,1292
indian jazz,1293
son cubano clasico,1294
portland indie,1295
bengali folk,1296
irish pop,1297
abstract hip hop,1298
japanese new wave,1299
tape club,1300
musica infantil,1301
christian metal,1302
carnatic vocal,1303
venezuelan rock,1304
japanese traditional,1305
oxford choir,1306
pop folk,1307
afghan pop,1308
argentine hip hop,1309
deep southern soul,1310
old west,1311
florida death metal,1312
welsh rock,1313
deep uplifting trance,1314
detroit trap,1315
bounce,1316
neo-pagan,1317
christian alternative rock,1318
techno,1319
indie shoegaze,1320
west african jazz,1321
louisville indie,1322
wave,1323
j-dance,1324
finnish edm,1325
charanga,1326
contemporary post-bop,1327
latintronica,1328
south african choral,1329
classic french pop,1330
college marching band,1331
gamelan,1332
clawhammer banjo,1333
slam poetry,1334
ukrainian pop,1335
atlanta indie,1336
speed garage,1337
virginia punk,1338
mexican traditional,1339
irish electronic,1340
italian mandolin,1341
japanese vgm,1342
faroese pop,1343
dutch trance,1344
swedish gangsta rap,1345
indie dream pop,1346
nordic contemporary classical,1347
dutch trap pop,1348
kompa,1349
pinoy reggae,1350
charlotte nc indie,1351
deathrock,1352
timba,1353
british invasion,1354
skiffle,1355
salsa choke,1356
dunedin indie,1357
r&b en espanol,1358
dub,1359
fidget house,1360
samba-rock,1361
panamanian rock,1362
kiwi rock,1363
brass ensemble,1364
j-division,1365
chamber folk,1366
new orleans indie,1367
derby indie,1368
acid rock,1369
japanese heavy metal,1370
deep psychobilly,1371
kent indie,1372
belgian new wave,1373
latin afrobeat,1374
slow game,1375
shabad,1376
quebec death metal,1377
latin ska,1378
british experimental,1379
yoik,1380
cyberpunk,1381
fast melodic punk,1382
rap espanol,1383
colombian hip hop,1384
queercore,1385
arabic hip hop,1386
belgian rock,1387
indonesian indie,1388
inuit traditional,1389
alabama indie,1390
nepali indie,1391
kentucky mountain folk,1392
darksynth,1393
croatian rock,1394
riddim,1395
canadian classical,1396
norman ok indie,1397
brazilian ska,1398
estonian hip hop,1399
essex indie,1400
colombian rock,1401
welsh metal,1402
midwest americana,1403
finnish soul,1404
rune folk,1405
easycore,1406
irish metal,1407
pittsburgh rap,1408
rif,1409
future garage,1410
hauntology,1411
kabarett,1412
anarcho-punk,1413
russian post-punk,1414
art punk,1415
breakcore,1416
gypsy,1417
indie rockism,1418
xhosa,1419
malaysian mandopop,1420
chamber ensemble,1421
italian techno,1422
hmong pop,1423
mallet,1424
skramz,1425
drill and bass,1426
esperanto,1427
cuban alternative,1428
honky-tonk piano,1429
guam indie,1430
classical saxophone,1431
oth indie,1432
appalachian folk,1433
australian talent show,1434
tango cancion,1435
columbus ohio indie,1436
arabic jazz,1437
brazilian boogie,1438
uilleann pipes,1439
vintage rockabilly,1440
australian choir,1441
trival,1442
dub poetry,1443
gothic post-punk,1444
rock alternativo brasileiro,1445
bmore,1446
chihuahua indie,1447
thai indie pop,1448
avant-garde jazz,1449
pop nacional,1450
danish singer-songwriter,1451
deep latin alternative,1452
austin americana,1453
musica antigua,1454
deep delta blues,1455
monterrey indie,1456
modern string quartet,1457
horror punk,1458
melodic metal,1459
calgary indie,1460
southern americana,1461
islamic recitation,1462
russian pop,1463
folk rock italiano,1464
folklore argentino,1465
ilocano pop,1466
scottish fiddle,1467
melodic dubstep,1468
graz indie,1469
swedish soul,1470
danish rock,1471
j-rap,1472
string band,1473
german renaissance,1474
classic russian rock,1475
soviet synthpop,1476
psychedelic pop,1477
toronto rap,1478
new wave of thrash metal,1479
minecraft,1480
renaissance,1481
dutch cabaret,1482
danspunk,1483
swedish underground rap,1484
power thrash,1485
yodeling,1486
historic string quartet,1487
salsa cubana,1488
dc indie,1489
swedish doom metal,1490
geek folk,1491
gospel rap,1492
danish jazz,1493
latino comedy,1494
spanish metal,1495
nz folk,1496
cornwall indie,1497
ny roots,1498
turkish psych,1499
muziek voor kinderen,1500
symphonic black metal,1501
tuareg guitar,1502
modern jazz trio,1503
brazilian punk,1504
electroclash,1505
jump up,1506
hong kong hip hop,1507
french movie tunes,1508
euphoric hardstyle,1509
hindustani instrumental,1510
animal singing,1511
twoubadou,1512
paisley underground,1513
yugoslav new wave,1514
huapango,1515
deep r&b,1516
indorock,1517
dutch jazz,1518
ghanaian traditional,1519
german show tunes,1520
desi hip hop,1521
dutch indie,1522
deep euro house,1523
dark techno,1524
j-idol,1525
norwegian classical,1526
cape breton folk,1527
malmo indie,1528
neo-rockabilly,1529
dubstep,1530
scottish folk,1531
partido alto,1532
pibroch,1533
turkish modern jazz,1534
progressive psytrance,1535
boston indie,1536
modern big band,1537
dark jazz,1538
iowa indie,1539
italo dance,1540
chinese folk,1541
folclor colombiano,1542
west australian hip hop,1543
experimental ambient,1544
lithuanian folk,1545
kentucky indie,1546
garage pop,1547
experimental big band,1548
russian punk,1549
chicago pop punk,1550
early music choir,1551
cymraeg,1552
ukrainian choir,1553
musica canaria,1554
trap chileno,1555
zimdancehall,1556
hungarian contemporary classical,1557
swedish prog,1558
folclore navarra,1559
belgian edm,1560
pittsburgh indie,1561
tucson indie,1562
tulsa indie,1563
swedish singer-songwriter,1564
plunderphonics,1565
australian alternative pop,1566
orquesta cubana,1567
buffalo ny indie,1568
nashville americana,1569
horrorcore,1570
thall,1571
texas pop punk,1572
rochester ny indie,1573
motivation,1574
nl folk,1575
duduk,1576
turkish trap pop,1577
alternative pop rock,1578
bay area indie,1579
groove room,1580
beat poetry,1581
detskie pesni,1582
korean ost,1583
cumbia santafesina,1584
egyptian pop,1585
beninese pop,1586
dinner jazz,1587
keroncong,1588
boy pop,1589
chaotic hardcore,1590
texas punk,1591
washboard,1592
middle eastern traditional,1593
christchurch indie,1594
trash rock,1595
brain waves,1596
footwork,1597
float house,1598
dabke,1599
japanese alternative rock,1600
louvor,1601
new jersey hardcore,1602
neo-trad metal,1603
nwothm,1604
hula,1605
canadian folk,1606
polish jazz,1607
musica de fondo,1608
harp,1609
channel pop,1610
singing bowl,1611
gothabilly,1612
irish indie,1613
dream trance,1614
deep dance pop,1615
synth funk,1616
australian post-punk,1617
liedermacher,1618
sarod,1619
magyar,1620
vintage hawaiian,1621
mashup,1622
japanese punk rock,1623
nordic folk,1624
military cadence,1625
messianic praise,1626
semba,1627
musica popular paraense,1628
canadian indie folk,1629
folclore extremeno,1630
okinawan pop,1631
swedish synth,1632
kindermusik,1633
german underground rap,1634
deep g funk,1635
eastern bloc groove,1636
jordanian pop,1637
college a cappella,1638
german pop rock,1639
puerto rican rock,1640
swiss worship,1641
swedish progressive metal,1642
kodomo no ongaku,1643
gainesville indie,1644
vancouver indie,1645
instrumental acoustic guitar,1646
glitch,1647
gothic americana,1648
american contemporary classical,1649
traditional funk,1650
garage rock,1651
mexican son,1652
japanese folk,1653
bulgarian folk,1654
omaha indie,1655
chinese hip hop,1656
death metal,1657
psychedelic punk,1658
chill lounge,1659
pittsburgh rock,1660
czech hip hop,1661
