acousticness,artists,danceability,energy,explicit,instrumentalness,key,liveness,loudness,name,popularity,release_date,speechiness,tempo,valence,days_from_release,duration_sec
0.0946,"['Jhay Cortez', 'Bad Bunny']",0.807,0.606,1,0.0,3,0.11900000000000001,-8.871,CÓMO SE SIENTE - Remix,86,2020-05-09,0.08800000000000001,92.988,0.304,156,227.52
0.0236,['Lil Uzi Vert'],0.775,0.72,1,0.0,11,0.114,-5.353,P2,86,2020-03-06,0.193,155.086,0.49,220,234.627
0.32,['Twenty One Pilots'],0.754,0.583,0,0.00015,4,0.14400000000000002,-7.34,Level of Concern,86,2020-04-09,0.0432,122.012,0.77,186,220.051
0.0326,"['Bad Bunny', 'Daddy Yankee']",0.7440000000000001,0.868,1,0.0,1,0.0822,-4.524,La Santa,86,2020-02-28,0.047,93.037,0.586,227,206.42
0.41200000000000003,['Bad Bunny'],0.7120000000000001,0.599,1,2.15e-05,5,0.10300000000000001,-6.3420000000000005,BYE ME FUI,86,2020-05-10,0.11199999999999999,179.78799999999995,0.588,155,178.0
0.627,['Madison Beer'],0.37799999999999995,0.461,0,0.0,9,0.386,-6.202000000000001,Selfish,86,2020-02-14,0.0275,75.363,0.23199999999999998,241,223.27
0.14300000000000002,['Halsey'],0.591,0.585,1,0.0,2,0.109,-6.35,You should be sad,86,2020-01-17,0.0277,110.94,0.324,269,205.473
0.15,['J Balvin'],0.652,0.595,0,0.00011499999999999999,11,0.0842,-4.04,Rojo,86,2020-02-27,0.113,172.27,0.444,228,150.853
0.055,['Lil Uzi Vert'],0.7709999999999999,0.654,1,0.0,8,0.214,-6.976,Myron,86,2020-03-13,0.298,155.047,0.573,213,224.955
0.496,"['S1mba', 'DTG']",0.613,0.624,1,0.0,11,0.28300000000000003,-6.66,Rover (feat. DTG),86,2020-03-04,0.20600000000000002,62.948,0.804,222,167.917
0.0837,['Katy Perry'],0.639,0.546,0,0.0,1,0.122,-5.3820000000000014,Daisies,86,2020-05-15,0.0407,122.179,0.149,150,173.124
0.177,"['Robin Schulz', 'Alida']",0.57,0.672,0,0.0,8,0.0768,-5.89,In Your Eyes (feat. Alida),86,2020-01-10,0.0723,120.01899999999999,0.44799999999999995,276,208.222
0.00346,"['Sam Smith', 'Demi Lovato']",0.501,0.674,0,3.5600000000000005e-05,5,0.282,-6.3629999999999995,I’m Ready (with Demi Lovato),86,2020-04-16,0.0408,155.05100000000004,0.152,179,200.838
0.0816,['J Balvin'],0.843,0.836,0,0.0013800000000000002,11,0.0532,-2.474,Azul,86,2020-03-19,0.0695,94.01799999999999,0.65,207,205.933
0.299,"['Juice WRLD', 'Trippie Redd']",0.609,0.757,1,0.0,2,0.63,-5.605,Tell Me U Luv Me (with Trippie Redd),85,2020-05-29,0.11900000000000001,128.02200000000002,0.379,136,180.129
0.556,['Selena Gomez'],0.488,0.34299999999999997,0,0.0,4,0.21,-8.985,Lose You To Love Me,85,2020-01-10,0.0436,102.819,0.0978,276,206.459
0.524,['Don Toliver'],0.652,0.631,0,0.000579,6,0.165,-5.718,No Idea,85,2020-03-13,0.0893,127.99799999999999,0.35,213,154.424
0.00839,['Jonas Brothers'],0.852,0.698,0,1.03e-06,9,0.0773,-7.206,What A Man Gotta Do,85,2020-01-17,0.0629,113.039,0.324,269,180.645
0.289,"['Justin Quiles', 'Daddy Yankee', 'El Alfa']",0.889,0.863,1,0.000603,11,0.0798,-3.011,PAM,85,2020-05-01,0.0757,112.95299999999999,0.7759999999999999,164,201.0
0.321,"['Bad Bunny', 'Nicky Jam']",0.59,0.7290000000000001,1,0.0,7,0.659,-4.95,BAD CON NICKY,85,2020-05-10,0.0893,93.094,0.7120000000000001,155,202.24
0.0137,['Dua Lipa'],0.647,0.8440000000000001,0,0.0006580000000000001,0,0.102,-3.7560000000000002,Physical,85,2020-03-27,0.0457,146.96200000000005,0.746,199,193.829
0.474,"['YNW Melly', 'Juice WRLD']",0.655,0.441,1,0.0,9,0.099,-5.245,Suicidal (Remix) [feat. Juice WRLD],85,2020-03-13,0.0629,139.957,0.273,213,225.857
0.0538,"['Polo G', 'Juice WRLD']",0.752,0.6729999999999999,1,0.0,10,0.133,-5.7920000000000025,Flex (feat. Juice WRLD),85,2020-05-15,0.153,164.00900000000001,0.35,150,163.902
0.0827,"['NAV', 'Gunna', 'Travis Scott']",0.893,0.618,1,0.0,7,0.542,-4.425,Turks (feat. Travis Scott),84,2020-03-27,0.11199999999999999,119.09899999999999,0.389,199,161.377
0.13699999999999998,['J Balvin'],0.8809999999999999,0.696,0,4.13e-05,11,0.0927,-3.838,Morado,84,2020-01-09,0.0797,97.00200000000001,0.7809999999999999,277,200.667
0.0236,['The Weeknd'],0.537,0.746,1,1.01e-06,10,0.156,-5.5070000000000014,Heartless,84,2020-03-20,0.15,170.062,0.252,206,198.267
0.00173,['Lady Gaga'],0.68,0.825,0,0.000122,8,0.27,-4.296,Stupid Love,84,2020-05-29,0.0702,117.98700000000001,0.784,136,193.533
0.406,"['Nea', 'Felix Jaehn']",0.682,0.7,0,0.0,6,0.174,-5.591,Some Say - Felix Jaehn Remix,84,2020-01-10,0.0397,120.03,0.637,276,186.878
0.115,"['IU', 'SUGA']",0.6759999999999999,0.8690000000000001,0,0.0,1,0.132,-1.5730000000000002,eight(Prod.&Feat. SUGA of BTS),84,2020-05-06,0.0423,120.029,0.594,159,167.573
0.0317,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",0.883,0.8079999999999999,1,0.0,1,0.207,-3.158,PTSD,84,2020-02-28,0.183,119.012,0.805,227,232.065
0.917,['Billie Eilish'],0.38,0.21899999999999997,0,0.0104,4,0.0827,-13.273,No Time To Die,84,2020-02-13,0.0358,73.53699999999998,0.0517,242,242.265
0.114,"['Gunna', 'Young Thug']",0.825,0.45799999999999996,1,0.0,0,0.102,-7.47,DOLLAZ ON MY HEAD (feat. Young Thug),84,2020-05-22,0.0577,145.115,0.161,143,197.76
